Acquisition Type,AMI Category,Bathrooms,Bedrooms,Block GeoID,Built Year,Organizational Sponsor/Owner,Property/Project Name,Restriction Type,Square Feet,Tenure Type,Unit ID,Unit Type,Year Unit Became Permanently Affordable
LTRA,60% AMI,1,3,80130121024,1971,Boulder Housing Partners,Iris/Hawthorn,Likely to Remain Affordable,960,Rental,2692,,1999
LTRA,60% AMI,1,3,80130121024,1971,Boulder Housing Partners,Iris/Hawthorn,Likely to Remain Affordable,960,Rental,2693,,1999
LTRA,60% AMI,1,3,80130121024,1971,Boulder Housing Partners,Iris/Hawthorn,Likely to Remain Affordable,960,Rental,2694,,1999
LTRA,60% AMI,1,4,80130121024,1971,Boulder Housing Partners,Iris/Hawthorn,Likely to Remain Affordable,1089,Rental,2695,,1999
LTRA,60% AMI,1,4,80130121024,1971,Boulder Housing Partners,Iris/Hawthorn,Likely to Remain Affordable,1089,Rental,2696,,1999
LTRA,60% AMI,1,4,80130121024,1971,Boulder Housing Partners,Iris/Hawthorn,Likely to Remain Affordable,1089,Rental,2697,,1999
LTRA,60% AMI,1,4,80130121024,1971,Boulder Housing Partners,Iris/Hawthorn,Likely to Remain Affordable,1089,Rental,2698,,1999
LTRA,60% AMI,1,3,80130121024,1971,Boulder Housing Partners,Iris/Hawthorn,Likely to Remain Affordable,960,Rental,2699,,1999
LTRA,60% AMI,1,3,80130121024,1971,Boulder Housing Partners,Iris/Hawthorn,Likely to Remain Affordable,960,Rental,2700,,1999
LTRA,60% AMI,1,4,80130121024,1971,Boulder Housing Partners,Iris/Hawthorn,Likely to Remain Affordable,1089,Rental,2701,,1999
LTRA,60% AMI,1,3,80130121024,1971,Boulder Housing Partners,Iris/Hawthorn,Likely to Remain Affordable,960,Rental,2702,,1999
LTRA,60% AMI,1,4,80130121024,1971,Boulder Housing Partners,Iris/Hawthorn,Likely to Remain Affordable,1089,Rental,2703,,1999
LTRA,60% AMI,1,3,80130121024,1971,Boulder Housing Partners,Iris/Hawthorn,Likely to Remain Affordable,960,Rental,2704,,1999
